DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
1,0,1,1.558566892294941,0,90000000000,0,0,2,2
2,1,2,1.558566892294941,0,90000000000,0,0,2,2
3,2,3,1.5996811147917673,0,24.322483541484704,0,0,2,2
4,3,4,1.6495497587677808,0,20.052680808425333,0,0,2,2
5,4,5,1.6994571536951528,0,20.037110761947282,0,0,2,2
6,5,6,1.780301197885973,0,12.369494995075332,0,0,2,2
7,0,7,0.08136676292898203,0,90000000000,0,0,2,2
8,1,8,0.08136676292898203,0,90000000000,0,0,2,2
9,2,9,0.08136676292898203,0,90000000000,0,0,2,2
10,3,10,0.08136676292898203,0,90000000000,0,0,2,2
11,4,11,0.08136676292898203,0,90000000000,0,0,2,2
12,5,12,0.08136676292898203,0,90000000000,0,0,2,2
13,6,13,0.08136676292898203,0,90000000000,0,0,2,2
14,7,14,0.08136676292898203,0,90000000000,0,0,2,2
15,8,15,0.08136676292898203,0,90000000000,0,0,2,2
16,9,16,0.08136676292898203,0,90000000000,0,0,2,2
17,10,17,0.08136676292898203,0,90000000000,0,0,2,2
18,11,18,0.08136676292898203,0,90000000000,0,0,2,2
19,12,19,0.08136676292898203,0,90000000000,0,0,2,2
20,13,20,0.13999555166501562,0,17.056466994437397,0,0,2,2
21,14,21,0.17664913183244305,0,27.28246450775524,0,0,2,2
22,15,22,0.19307190862354842,0,60.89104252708366,0,0,2,2
23,16,23,0.2899592655750489,0,10.321264109831958,0,0,2,2
24,17,24,0.33470587487706066,0,22.348062022993137,0,0,2,2
25,18,25,0.41115873750217036,0,13.079954963930497,0,0,2,2
26,19,26,0.5182369904393016,0,9.338964472899358,0,0,2,2
27,20,27,0.6323779107826996,0,8.761099849129096,0,0,2,2
28,21,28,0.7127274620914472,0,12.445620214572747,0,0,2,2
29,22,29,0.8123436845508287,0,10.038525606687703,0,0,2,2
30,23,30,0.9047199500162089,0,10.825291485449476,0,0,2,2
31,24,31,1.0230644318181754,0,8.449908139133724,0,0,2,2
32,25,32,1.0883638315258632,0,15.314076461292,0,0,2,2
33,26,33,1.1792404491022503,0,11.003930677321277,0,0,2,2
34,27,34,1.2714115192099515,0,10.849391233404447,0,0,2,2
35,28,35,1.372422394112991,0,9.899924151334227,0,0,2,2
36,29,36,1.4412812073732981,0,14.522469276658848,0,0,2,2
37,30,37,1.5025171930454477,0,16.330267064759674,0,0,2,2
38,31,38,1.5669377692125281,0,15.522990626572671,0,0,2,2
39,32,39,1.5829315516347648,0,62.524296854861916,0,0,2,2
40,33,40,1.6322288586012852,0,20.285083740560868,0,0,2,2
41,34,41,1.6329212634616692,0,1444.2417395010484,0,0,2,2
42,35,42,1.6673364978171203,0,29.056899327538854,0,0,2,2
43,36,43,1.6862757867580598,0,52.80029272051422,0,0,2,2
44,37,44,1.6891487419745295,0,348.07364704724125,0,0,2,2
45,38,45,1.7018041672795239,0,79.01749454483792,0,0,2,2
46,39,46,1.7108091709772457,0,111.04937139037362,0,0,2,2
47,40,47,1.7345687381458432,0,42.08830880226126,0,0,2,2
48,41,48,1.7305636438126462,0,-249.6820091630026,0,0,2,2
49,42,49,1.7299747389453977,0,-1698.0671337838278,0,0,2,2
50,43,50,1.7584983139980177,0,35.058718907262104,0,0,2,2
51,44,51,1.7234270059276158,0,-28.51333625745028,0,0,2,2
52,45,52,1.7234270059276153,0,-2251799813685248.0,0,0,2,2
53,46,53,1.7234270059276229,0,132458812569720.47,0,0,2,2
54,47,54,1.7234270059276153,0,-132458812569720.47,0,0,2,2
55,48,55,1.7234270059276158,0,2251799813685248.0,0,0,2,2
56,49,56,1.7234270059276158,0,90000000000,0,0,2,2
57,50,57,1.7234270059276158,0,90000000000,0,0,2,2
58,51,58,1.7234270059276218,0,166799986198907.25,0,0,2,2
59,52,59,1.7234270059276158,0,-166799986198907.25,0,0,2,2
60,53,60,1.7234270059276158,0,90000000000,0,0,2,2
61,54,61,1.7234270059276158,0,90000000000,0,0,2,2
62,55,62,1.7234270059276158,0,90000000000,0,0,2,2
63,56,63,1.7234270059276218,0,166799986198907.25,0,0,2,2
64,57,64,1.7234270059276169,0,-204709073971386.2,0,0,2,2
65,58,65,1.7234270059276149,0,-500399958596721.75,0,0,2,2
66,59,66,1.7234270059276158,0,1125899906842624.0,0,0,2,2
67,60,67,1.7234270059276158,0,90000000000,0,0,2,2
68,61,68,1.7234270059276218,0,166799986198907.25,0,0,2,2
69,62,69,1.7234270059276169,0,-204709073971386.2,0,0,2,2
70,63,70,1.7234270059276149,0,-500399958596721.75,0,0,2,2
71,64,71,1.7234270059276158,0,1125899906842624.0,0,0,2,2
72,65,72,1.7234270059276158,0,90000000000,0,0,2,2
73,66,73,1.7234270059276218,0,166799986198907.25,0,0,2,2
74,67,74,1.7234270059276169,0,-204709073971386.2,0,0,2,2
75,68,75,1.7234270059276149,0,-500399958596721.75,0,0,2,2
76,69,76,1.7234270059276158,0,1125899906842624.0,0,0,2,2
77,70,77,1.7234270059276158,0,90000000000,0,0,2,2
78,71,78,1.7234270059276229,0,140737488355328.0,0,0,2,2
79,72,79,1.7234270059276158,0,-140737488355328.0,0,0,2,2
80,73,80,1.7234270059276149,0,-1125899906842624.0,0,0,2,2
81,74,81,1.7234270059276158,0,1125899906842624.0,0,0,2,2
82,75,82,1.7234270059276158,0,90000000000,0,0,2,2
83,76,83,1.7234270059276229,0,140737488355328.0,0,0,2,2
84,77,84,1.7234270059276158,0,-140737488355328.0,0,0,2,2
85,78,85,1.7234270059276149,0,-1125899906842624.0,0,0,2,2
86,79,86,1.7234270059276149,0,90000000000,0,0,2,2
87,80,87,1.7234270059276169,0,500399958596721.75,0,0,2,2
88,81,88,1.7234270059276204,0,281474976710656.0,0,0,2,2
89,82,89,1.7234270059276182,0,-450359962737049.6,0,0,2,2
90,83,90,1.7234270059276149,0,-300239975158033.06,0,0,2,2
91,84,91,1.7492250201492552,0,38.76267341387711,0,0,2,2
92,85,92,1.725623920984007,0,-42.37090793942617,0,0,2,2
93,86,93,1.734866226802978,0,108.1981076570062,0,0,2,2
94,87,94,1.7488751841729653,0,71.3828997825629,0,0,2,2
95,88,95,1.7437458664187753,0,-194.95770157407878,0,0,2,2
96,89,96,1.7445207215782854,0,1290.5637753411718,0,0,2,2
97,90,97,1.7225986162394504,0,-45.61605669454116,0,0,2,2
98,91,98,1.7234458011430513,0,1180.3798624710496,0,0,2,2
99,92,99,1.706031172447676,0,-57.422987161682116,0,0,2,2
100,93,100,1.6871485027574382,0,-52.95861318365347,0,0,2,2
101,94,101,1.663948879441153,0,-43.10414813063104,0,0,2,2
102,95,102,1.6325204324475031,0,-31.81830779618382,0,0,2,2
103,96,103,1.6255006852895408,0,-142.45527331646582,0,0,2,2
104,97,104,1.593260531120148,0,-31.017221404894787,0,0,2,2
105,98,105,1.5662243606090875,0,-36.98748680368405,0,0,2,2
106,99,106,1.567894141366222,0,598.8810181979467,0,0,2,2
107,100,107,1.580501892560921,0,79.3162860336619,0,0,2,2
108,101,108,1.6071023767868273,0,37.593300614659476,0,0,2,2
109,102,109,1.6477158520797086,0,24.622369614729315,0,0,2,2
110,103,110,1.702358260789643,0,18.300803782432677,0,0,2,2
111,104,111,1.7710510807864306,0,14.557562202960446,0,0,2,2
112,105,112,1.853821359289737,0,12.081631451319243,0,0,2,2
113,106,113,1.9514868805264918,0,10.239027932650474,0,0,2,2
114,107,114,2.0712601178132237,0,8.349110558029281,0,0,2,2
115,108,115,2.2170822320090364,0,6.85767042615485,0,0,2,2
116,109,116,2.3891824009501534,0,5.810569543032487,0,0,2,2
117,110,117,2.587793539086716,0,5.034964349846339,0,0,2,2
118,111,118,2.813187008043597,0,4.436685786096607,0,0,2,2
119,112,119,3.065674129652117,0,3.9605980440875506,0,0,2,2
120,113,120,3.306452647311685,0,4.153194436614487,0,0,2,2
121,114,121,3.309252882896335,0,357.11281060837507,0,0,2,2
122,115,122,3.2978805047989357,0,-87.93235605037466,0,0,2,2
123,116,123,3.2785406528155203,0,-51.70670390122616,0,0,2,2
124,117,124,3.2846834752039262,0,162.79161870078167,0,0,2,2
125,118,125,3.2535135597641966,0,-32.082217288449456,0,0,2,2
126,119,126,3.2365493306529336,0,-58.94756510545301,0,0,2,2
127,120,127,3.23654933065292,0,-72638703667266.06,0,0,2,2
128,121,128,3.236549330652934,0,70368744177664.0,0,0,2,2
129,122,129,3.2365493306529336,0,-2251799813685248.0,0,0,2,2
130,123,130,3.23654933065292,0,-72638703667266.06,0,0,2,2
131,124,131,3.236549330652934,0,70368744177664.0,0,0,2,2
132,125,132,3.23654933065292,0,-70368744177664.0,0,0,2,2
133,126,133,3.2365493306529336,0,72638703667266.06,0,0,2,2
134,127,134,3.2365493306529336,0,90000000000,0,0,2,2
135,128,135,3.23654933065292,0,-72638703667266.06,0,0,2,2
136,129,136,3.236549330652934,0,70368744177664.0,0,0,2,2
137,130,137,3.2365493306529336,0,-2251799813685248.0,0,0,2,2
138,131,138,3.23654933065292,0,-72638703667266.06,0,0,2,2
139,132,139,3.236549330652934,0,70368744177664.0,0,0,2,2
140,133,140,3.2365493306529336,0,-2251799813685248.0,0,0,2,2
141,134,141,3.23654933065292,0,-72638703667266.06,0,0,2,2
142,135,142,3.236549330652934,0,70368744177664.0,0,0,2,2
143,136,143,3.2365493306529336,0,-2251799813685248.0,0,0,2,2
144,137,144,3.2365493306529203,0,-75059993789508.27,0,0,2,2
145,138,145,3.2365493306529336,0,75059993789508.27,0,0,2,2
146,139,146,3.2365493306529203,0,-75059993789508.27,0,0,2,2
147,140,147,3.236549330652934,0,72638703667266.06,0,0,2,2
148,141,148,3.2365493306529336,0,-2251799813685248.0,0,0,2,2
149,142,149,3.2365493306529203,0,-75059993789508.27,0,0,2,2
150,143,150,3.236549330652934,0,72638703667266.06,0,0,2,2
151,144,151,3.2365493306529336,0,-2251799813685248.0,0,0,2,2
152,145,152,3.2365493306529203,0,-75059993789508.27,0,0,2,2
153,146,153,3.236549330652934,0,72638703667266.06,0,0,2,2
154,147,154,3.2365493306529336,0,-2251799813685248.0,0,0,2,2
155,148,155,3.2365493306529203,0,-75059993789508.27,0,0,2,2
156,149,156,3.2365493306529336,0,75059993789508.27,0,0,2,2
157,150,157,3.2365493306529203,0,-75059993789508.27,0,0,2,2
158,151,158,3.2365493306529336,0,75059993789508.27,0,0,2,2
159,152,159,3.2365493306529345,0,1125899906842624.0,0,0,2,2
160,153,160,3.23654933065292,0,-68236357990462.06,0,0,2,2
161,154,161,3.2365493306529336,0,72638703667266.06,0,0,2,2
162,155,162,3.2365493306529345,0,1125899906842624.0,0,0,2,2
163,156,163,3.23654933065292,0,-68236357990462.06,0,0,2,2
164,157,164,3.2365493306529336,0,72638703667266.06,0,0,2,2
165,158,165,3.215236560136361,0,-46.920225562528444,0,0,2,2
166,159,166,3.2437883130549845,0,35.0241192843793,0,0,2,2
167,160,167,3.223026356482633,0,-48.165017420935044,0,0,2,2
168,161,168,3.265867284700916,0,23.342164644631648,0,0,2,2
169,162,169,3.2999263844627924,0,29.36072905600784,0,0,2,2
170,163,170,3.3548206850892397,0,18.21682740445033,0,0,2,2
171,164,171,3.4188791530107925,0,15.610738633721601,0,0,2,2
172,165,172,3.4893841741569593,0,14.183386994904362,0,0,2,2
173,166,173,3.581780873765955,0,10.822897400359548,0,0,2,2
174,167,174,3.667574763412374,0,11.655841740260108,0,0,2,2
175,168,175,3.771919706122355,0,9.58359815079324,0,0,2,2
176,169,176,3.873547710824434,0,9.83980747168544,0,0,2,2
177,170,177,4.005118904700568,0,7.600447868105798,0,0,2,2
178,171,178,4.128944389660004,0,8.075881958609637,0,0,2,2
179,172,179,4.219595732452821,0,11.031276197259396,0,0,2,2
180,173,180,4.294071529982101,0,13.427180818128974,0,0,2,2
181,174,181,4.4259170909218515,0,7.584631540662697,0,0,2,2
182,175,182,4.458796769410435,0,30.413922701440328,0,0,2,2
183,176,183,4.54444466387119,0,11.675710258799329,0,0,2,2
184,177,184,4.632238351871725,0,11.39034049912465,0,0,2,2
185,178,185,4.708178964618634,0,13.168184504024804,0,0,2,2
186,179,186,4.782455511757672,0,13.463199872876421,0,0,2,2
187,180,187,4.833349780035708,0,19.648577999726655,0,0,2,2
188,181,188,4.903997615115057,0,14.154715411687262,0,0,2,2
189,182,189,4.9252297985023334,0,47.09831211232192,0,0,2,2
190,183,190,4.949400932650703,0,41.371662325056796,0,0,2,2
191,184,191,4.950648295059548,0,801.6916277975415,0,0,2,2
192,185,192,4.963767921272487,0,76.22168374078922,0,0,2,2
193,186,193,4.949082380337072,0,-68.09418899840875,0,0,2,2
194,187,194,4.970084309560839,0,47.61467336383208,0,0,2,2
195,188,195,4.945269779338,0,-40.29896963673358,0,0,2,2
196,189,196,4.953829676994474,0,116.82382665448476,0,0,2,2
197,190,197,4.938182527581118,0,-63.90940442777608,0,0,2,2
198,191,198,4.943386413004908,0,192.16410788531013,0,0,2,2
199,192,199,4.919985001608066,0,-42.73246527920797,0,0,2,2
200,193,200,4.883665617277207,0,-27.53350637473042,0,0,2,2
201,194,201,4.883665617277199,0,-125099989649180.44,0,0,2,2
202,195,202,4.883665617277207,0,125099989649180.44,0,0,2,2
203,196,203,4.883665617277207,0,90000000000,0,0,2,2
204,197,204,4.883665617277199,0,-125099989649180.44,0,0,2,2
205,198,205,4.883665617277207,0,125099989649180.44,0,0,2,2
206,199,206,4.883665617277207,0,90000000000,0,0,2,2
207,200,207,4.883665617277199,0,-125099989649180.44,0,0,2,2
208,201,208,4.883665617277207,0,125099989649180.44,0,0,2,2
209,202,209,4.883665617277207,0,90000000000,0,0,2,2
210,203,210,4.8836656172772,0,-140737488355328.0,0,0,2,2
211,204,211,4.883665617277206,0,160842843834660.56,0,0,2,2
212,205,212,4.826818270936503,0,-17.59097063223852,0,0,2,2
213,206,213,4.817344810207173,0,-105.55804563626612,0,0,2,2
214,207,214,4.818918851312574,0,635.3074240363816,0,0,2,2
215,208,215,4.806841051794333,0,-82.79653909552535,0,0,2,2
216,209,216,4.801824612847782,0,-199.34459696506917,0,0,2,2
217,210,217,4.778161376002404,0,-42.259645480213564,0,0,2,2
218,211,218,4.787015099979732,0,112.94682356946304,0,0,2,2
219,212,219,4.787570138277805,0,1801.6774760815595,0,0,2,2
220,213,220,4.770891689255198,0,-59.957613483395306,0,0,2,2
221,214,221,4.802043785087111,0,32.10056894392177,0,0,2,2
222,215,222,4.801679787152961,0,-2747.268339128616,0,0,2,2
223,216,223,4.843332353133004,0,24.008124745042668,0,0,2,2
224,217,224,4.851188479358749,0,127.28919715202146,0,0,2,2
225,218,225,4.868323963077411,0,58.358434253648,0,0,2,2
226,219,226,4.908055963689206,0,25.16862943224504,0,0,2,2
227,220,227,4.915088651736315,0,142.1931405604025,0,0,2,2
228,221,228,4.9580382737328685,0,23.28309199275921,0,0,2,2
229,222,229,4.990193051050563,0,31.099577836283018,0,0,2,2
230,223,230,5.042330244971136,0,19.180165344599086,0,0,2,2
231,224,231,5.062922908415492,0,48.56098399811779,0,0,2,2
232,225,232,5.1015040362824795,0,25.919408148139055,0,0,2,2
233,226,233,5.141327004931169,0,25.111136460513816,0,0,2,2
234,227,234,5.1654742743436985,0,41.41254992090786,0,0,2,2
235,228,235,5.212469486060375,0,21.278763590401134,0,0,2,2
236,229,236,5.240432225126164,0,35.76187574640825,0,0,2,2
237,230,237,5.283005419701059,0,23.488958486326375,0,0,2,2
238,231,238,5.310205358661269,0,36.7647883865789,0,0,2,2
239,232,239,5.360995280518494,0,19.688945433133423,0,0,2,2
240,233,240,5.4126317952208165,0,19.366140526037803,0,0,2,2
241,234,241,5.444374787320239,0,31.50301637816277,0,0,2,2
242,235,242,5.48489308556208,0,24.680207298720287,0,0,2,2
243,236,243,5.516117119027679,0,32.02661184378195,0,0,2,2
244,237,244,5.5439329869057214,0,35.95070282848808,0,0,2,2
245,238,245,5.525384371380901,0,-53.91237953376467,0,0,2,2
246,239,246,5.525384371380901,0,90000000000,0,0,2,2
247,240,247,5.525384371380901,0,90000000000,0,0,2,2
248,241,248,5.525384371380902,0,1125899906842624.0,0,0,2,2
249,242,249,5.5253843713809,0,-562949953421312.0,0,0,2,2
250,243,250,5.5253843713809,0,90000000000,0,0,2,2
251,244,251,5.525384371380902,0,562949953421312.0,0,0,2,2
252,245,252,5.525384371380901,0,-1125899906842624.0,0,0,2,2
253,246,253,5.525384371380901,0,90000000000,0,0,2,2
254,247,254,5.525384371380901,0,90000000000,0,0,2,2
255,248,255,5.4669105775852245,0,-17.101678120873675,0,0,2,2
256,249,256,5.472646454247235,0,174.34126619618584,0,0,2,2
257,250,257,5.451526475266435,0,-47.34853197103698,0,0,2,2
258,251,258,5.433258829562854,0,-54.741591567213604,0,0,2,2
259,252,259,5.443122191867296,0,101.38530545001609,0,0,2,2
260,253,260,5.4204117309919555,0,-44.0325718394301,0,0,2,2
261,254,261,5.429569944595144,0,109.19160038501632,0,0,2,2
262,255,262,5.4534155259141865,0,41.936490732621834,0,0,2,2
263,256,263,5.475322150007612,0,45.648293216485186,0,0,2,2
264,257,264,5.552768253112589,0,12.912205519811808,0,0,2,2
265,258,265,5.611794632707561,0,16.94157776339695,0,0,2,2
266,259,266,5.689639661916961,0,12.846035387950565,0,0,2,2
267,260,267,5.77949683073904,0,11.128772618910787,0,0,2,2
268,261,268,5.877047727512194,0,10.251059017175582,0,0,2,2
269,262,269,5.9833934829230735,0,9.403290203133905,0,0,2,2
270,263,270,6.0736496842469405,0,11.079571102396525,0,0,2,2
271,264,271,6.149022378119176,0,13.267404263075672,0,0,2,2
272,265,272,6.226848788496868,0,12.849108614248008,0,0,2,2
273,266,273,0.014413824731585093,0,-0.160967479874254,0,0,2,2
274,267,274,0.04119377169542659,0,37.341373429536965,0,0,2,2
275,268,275,0.052873575743814995,0,85.61787473977196,0,0,2,2
